text,cluster
"A 22-year-old Caucasian female presents with a history of recurrent episodes of red, itchy patches on her face and neck. She reports that these episodes occur every few months and are associated with stress. On examination, there are multiple well-defined erythematous patches with fine scales present on her cheeks and neck. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 50-year-old African American male presents with a chief complaint of a dark spot on his back that has been present for several years. He reports that the spot has slowly increased in size and is now causing him concern. On examination, there is a solitary hyperpigmented macule with irregular borders present on the mid-back. The lesion is asymptomatic and non-tender. The patient has a history of sun exposure and is otherwise healthy. He takes no medications.",0
"A 28-year-old Asian female presents with a chief complaint of hair loss on her scalp. She reports that she has noticed increased shedding over the past few months and is concerned about bald patches. On examination, there is diffuse thinning of the hair present on the crown of the scalp. The patient denies any history of hair loss in her family or any recent changes in her health. She is otherwise healthy and takes no medications.",0
"A 40-year-old Caucasian male presents with a chief complaint of a painful, blistering rash on his left hand. He reports that the rash appeared suddenly and is accompanied by a burning sensation. On examination, there are multiple grouped vesicles present on an erythematous base on the dorsal aspect of the left hand. The patient denies any recent contact with irritants or allergens. He has a history of occasional cold sores but is otherwise healthy. He takes no medications.",0
"A 60-year-old Hispanic female presents with a chief complaint of a rapidly growing skin lesion on her face. She reports that the lesion appeared several months ago as a small, pink bump but has since increased in size and now has a rough, warty appearance. On examination, there is a solitary, hyperkeratotic papule present on the left cheek. The lesion is non-tender and does not bleed easily. The patient has a history of extensive sun exposure and is otherwise healthy. She takes no medications.",0
"A 25-year-old African American male presents with a chief complaint of dark patches on his neck and underarms. He reports that these patches have been present for several years and have slowly increased in size. On examination, there are multiple hyperpigmented macules present on the anterior neck and bilateral axillae. The lesions are asymptomatic and non-tender. The patient has a history of obesity and type 2 diabetes. He takes metformin for his diabetes.",0
"A 55-year-old Caucasian female presents with a chief complaint of a painful, itchy rash on her lower legs. She reports that the rash appeared suddenly and is accompanied by a burning sensation. On examination, there are multiple erythematous papules and plaques present on the shins and ankles. The patient denies any recent travel or exposure to potential irritants. She has a history of venous insufficiency and is taking compression stockings for this condition.",0
"A 30-year-old Asian male presents with a chief complaint of acne on his face and back. He reports that the acne has been present for several years and is bothersome to him. On examination, there are multiple comedones, papules, and pustules present on the face and upper back. The patient denies any history of severe acne or scarring. He is otherwise healthy and takes no medications.",0
"A 45-year-old Hispanic female presents with a chief complaint of a rash on her hands and feet. She reports that the rash appeared suddenly and is accompanied by itching and a burning sensation. On examination, there are multiple erythematous plaques with vesicles present on the palms and soles. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 50-year-old Caucasian female presents with a chief complaint of a new mole on her back. She reports that the mole appeared several months ago and has since increased in size. On examination, there is a solitary, pigmented papule present on the mid-back. The lesion is asymmetric with irregular borders and variegated color. The patient denies any history of skin cancer or significant sun exposure. She is otherwise healthy and takes no medications.",0
"A 35-year-old African American male presents with a chief complaint of a pruritic rash on his arms and legs. He reports that the rash appeared suddenly and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the extensor surfaces of the arms and legs. The patient denies any history of eczema or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 45-year-old Hispanic female presents with a chief complaint of a red, scaly rash on her scalp. She reports that the rash has been present for several weeks and is accompanied by itching. On examination, there are multiple erythematous plaques with adherent scales present on the scalp. The patient denies any history of psoriasis or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 55-year-old Caucasian male presents with a chief complaint of a non-healing sore on his lower lip. He reports that the sore appeared several months ago and has since increased in size. On examination, there is a solitary, ulcerated lesion present on the lower lip. The lesion is non-tender and does not bleed easily. The patient denies any history of skin cancer or significant sun exposure. He is otherwise healthy and takes no medications.",0
"A 40-year-old Asian female presents with a chief complaint of hair loss on her scalp. She reports that she has noticed increased shedding over the past few months and is concerned about bald patches. On examination, there is diffuse thinning of the hair present on the crown of the scalp. The patient denies any history of hair loss in her family or any recent changes in her health. She is otherwise healthy and takes no medications.",0
"A 30-year-old Hispanic male presents with a chief complaint of a painful, blistering rash on his hands and feet. He reports that the rash appeared suddenly and is accompanied by a burning sensation. On examination, there are multiple grouped vesicles present on an erythematous base on the palms and soles. The patient denies any history of eczema or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 25-year-old African American female presents with a chief complaint of dark spots on her face. She reports that the spots have been present for several months and have slowly increased in size. On examination, there are multiple hyperpigmented macules present on the cheeks and forehead. The patient denies any history of melasma or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 60-year-old Caucasian male presents with a chief complaint of a new growth on his scalp. He reports that the growth appeared several weeks ago and has since increased in size. On examination, there is a solitary, flesh-colored nodule present on the scalp. The lesion is non-tender and has a smooth surface. The patient denies any history of skin cancer or significant sun exposure. He is otherwise healthy and takes no medications.",0
"A 35-year-old Hispanic female presents with a chief complaint of a rash on her chest and back. She reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the chest and back. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 45-year-old African American male presents with a chief complaint of a dark spot on his face. He reports that the spot has been present for several years and has slowly increased in size. On examination, there is a solitary, hyperpigmented macule present on the cheek. The lesion is asymptomatic and non-tender. The patient denies any history of skin cancer or significant sun exposure. He is otherwise healthy and takes no medications.",0
"A 50-year-old Caucasian female presents with a chief complaint of a rash on her arms and legs. She reports that the rash appeared several weeks ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the extensor surfaces of the arms and legs. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 40-year-old Hispanic male presents with a chief complaint of a red, scaly rash on his scalp. He reports that the rash has been present for several months and is accompanied by itching. On examination, there are multiple erythematous plaques with adherent scales present on the scalp. The patient denies any history of psoriasis or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 55-year-old African American female presents with a chief complaint of a non-healing sore on her lower lip. She reports that the sore appeared several months ago and has since increased in size. On examination, there is a solitary, ulcerated lesion present on the lower lip. The lesion is non-tender and does not bleed easily. The patient denies any history of skin cancer or significant sun exposure. She is otherwise healthy and takes no medications.",0
"A 30-year-old Asian male presents with a chief complaint of hair loss on his scalp. He reports that he has noticed increased shedding over the past few months and is concerned about bald patches. On examination, there is diffuse thinning of the hair present on the crown of the scalp. The patient denies any history of hair loss in his family or any recent changes in his health. He is otherwise healthy and takes no medications.",0
"A 25-year-old Caucasian female presents with a chief complaint of a painful, blistering rash on her hands and feet. She reports that the rash appeared suddenly and is accompanied by a burning sensation. On examination, there are multiple grouped vesicles present on an erythematous base on the palms and soles. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 60-year-old Hispanic male presents with a chief complaint of dark spots on his face. He reports that the spots have been present for several months and have slowly increased in size. On examination, there are multiple hyperpigmented macules present on the cheeks and forehead. The patient denies any history of melasma or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 35-year-old African American female presents with a chief complaint of a new growth on her scalp. She reports that the growth appeared several weeks ago and has since increased in size. On examination, there is a solitary, flesh-colored nodule present on the scalp. The lesion is non-tender and has a smooth surface. The patient denies any history of skin cancer or significant sun exposure. She is otherwise healthy and takes no medications.",0
"A 45-year-old Caucasian male presents with a chief complaint of a rash on his chest and back. He reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the chest and back. The patient denies any history of eczema or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 50-year-old Hispanic female presents with a chief complaint of a dark spot on her face. She reports that the spot has been present for several years and has slowly increased in size. On examination, there is a solitary, hyperpigmented macule present on the cheek. The lesion is asymptomatic and non-tender. The patient denies any history of skin cancer or significant sun exposure. She is otherwise healthy and takes no medications.",0
"A 40-year-old African American male presents with a chief complaint of a rash on his arms and legs. He reports that the rash appeared several weeks ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the extensor surfaces of the arms and legs. The patient denies any history of eczema or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 25-year-old Caucasian female presents with a chief complaint of a rash on her face. She reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the cheeks and forehead. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 30-year-old African American male presents with a chief complaint of dark spots on his neck. He reports that the spots have been present for several years and have slowly increased in size. On examination, there are multiple hyperpigmented macules present on the anterior neck. The patient denies any history of melasma or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 45-year-old Hispanic female presents with a chief complaint of a new growth on her scalp. She reports that the growth appeared several weeks ago and has since increased in size. On examination, there is a solitary, flesh-colored nodule present on the scalp. The lesion is non-tender and has a smooth surface. The patient denies any history of skin cancer or significant sun exposure. She is otherwise healthy and takes no medications.",0
"A 50-year-old Caucasian male presents with a chief complaint of a rash on his chest. He reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the chest. The patient denies any history of eczema or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 35-year-old Hispanic female presents with a chief complaint of a dark spot on her face. She reports that the spot has been present for several years and has slowly increased in size. On examination, there is a solitary, hyperpigmented macule present on the cheek. The lesion is asymptomatic and non-tender. The patient denies any history of skin cancer or significant sun exposure. She is otherwise healthy and takes no medications.",0
"A 40-year-old African American male presents with a chief complaint of a rash on his arms. He reports that the rash appeared several weeks ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the extensor surfaces of the arms. The patient denies any history of eczema or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 55-year-old Caucasian female presents with a chief complaint of a non-healing sore on her lower lip. She reports that the sore appeared several months ago and has since increased in size. On examination, there is a solitary, ulcerated lesion present on the lower lip. The lesion is non-tender and does not bleed easily. The patient denies any history of skin cancer or significant sun exposure. She is otherwise healthy and takes no medications.",0
"A 60-year-old Hispanic male presents with a chief complaint of a rash on his back. He reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the mid-back. The patient denies any history of eczema or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 25-year-old African American female presents with a chief complaint of dark spots on her face. She reports that the spots have been present for several months and have slowly increased in size. On examination, there are multiple hyperpigmented macules present on the cheeks and forehead. The patient denies any history of melasma or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 30-year-old Caucasian male presents with a chief complaint of a new growth on his scalp. He reports that the growth appeared several weeks ago and has since increased in size. On examination, there is a solitary, flesh-colored nodule present on the scalp. The lesion is non-tender and has a smooth surface. The patient denies any history of skin cancer or significant sun exposure. He is otherwise healthy and takes no medications.",0
"A 35-year-old Hispanic female presents with a chief complaint of a rash on her arms. She reports that the rash appeared several weeks ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the extensor surfaces of the arms. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 40-year-old African American male presents with a chief complaint of a dark spot on his face. He reports that the spot has been present for several years and has slowly increased in size. On examination, there is a solitary, hyperpigmented macule present on the cheek. The lesion is asymptomatic and non-tender. The patient denies any history of skin cancer or significant sun exposure. He is otherwise healthy and takes no medications.",0
